year,production_tonnes,primary_loss_ha,production_mt
2002,11909300,61830,11.909
2003,13354800,60417,13.355
2004,13976200,113431,13.976
2005,14961700,114501,14.962
2006,15880700,113092,15.881
2007,15823745,142090,15.824
2008,17734440,139262,17.734
2009,17564936,235849,17.565
2010,16993716,139655,16.994
2011,18911520,161195,18.912
2012,18785030,244316,18.785
2013,19216460,106043,19.216
2014,19667016,230443,19.667
2015,19961580,154365,19.962
2016,17319176,185233,17.319
2017,19919332,162423,19.919
2018,19516140,144572,19.516
2019,19858368,120185,19.858
2020,19140612,72977,19.141
2021,18116354,72235,18.116
2022,18453420,71928,18.453
2023,18551950,79279,18.552
2024,19338266,68850,19.338
2025,20283475,65238,20.283
