year,driver,loss_ha
2002,Permanent agriculture,31808
2002,Logging,25217
2002,Other causes,4657
2003,Permanent agriculture,30570
2003,Logging,26145
2003,Other causes,3609
2004,Permanent agriculture,56337
2004,Logging,49727
2004,Other causes,7236
2005,Permanent agriculture,66773
2005,Logging,40398
2005,Other causes,7186
2006,Permanent agriculture,63156
2006,Logging,42887
2006,Other causes,6912
2007,Permanent agriculture,72068
2007,Logging,61702
2007,Other causes,8172
2008,Permanent agriculture,74221
2008,Logging,57460
2008,Other causes,7444
2009,Permanent agriculture,151689
2009,Logging,73698
2009,Other causes,10285
2010,Permanent agriculture,85864
2010,Logging,45536
2010,Other causes,8058
2011,Permanent agriculture,94630
2011,Logging,41151
2011,Other causes,25225
2012,Permanent agriculture,133633
2012,Logging,85356
2012,Other causes,24765
2013,Permanent agriculture,62164
2013,Logging,34661
2013,Other causes,9107
2014,Permanent agriculture,97278
2014,Logging,99436
2014,Other causes,33476
2015,Permanent agriculture,57200
2015,Logging,81722
2015,Other causes,15059
2016,Permanent agriculture,58410
2016,Logging,107053
2016,Other causes,19592
2017,Permanent agriculture,49515
2017,Logging,99320
2017,Other causes,13266
2018,Permanent agriculture,40218
2018,Logging,95864
2018,Other causes,8409
2019,Permanent agriculture,32756
2019,Logging,80327
2019,Other causes,7055
2020,Permanent agriculture,23941
2020,Logging,42906
2020,Other causes,6068
2021,Permanent agriculture,26376
2021,Logging,37462
2021,Other causes,8310
2022,Permanent agriculture,21505
2022,Logging,42520
2022,Other causes,7780
2023,Permanent agriculture,17697
2023,Logging,53881
2023,Other causes,7648
2024,Permanent agriculture,15546
2024,Logging,44244
2024,Other causes,8998
2025,Permanent agriculture,15158
2025,Logging,41190
2025,Other causes,8819
