year,production_tonnes
1961,94846
1962,108171
1963,125691
1964,122913
1965,150411
1966,189687
1967,225758
1968,282984
1969,352096
1970,431069
1971,580389
1972,718580
1973,812614
1974,1045975
1975,1257573
1976,1391965
1977,1612747
1978,1785525
1979,2188699
1980,2573173
1981,2822144
1982,3510920
1983,3016481
1984,3714795
1985,4134463
1986,4542249
1987,4531960
1988,5027496
1989,6056501
1990,6094622
1991,6141353
1992,6373460
1993,7402930
1994,7220630
1995,7810546
1996,8385890
1997,9068730
1998,8319680
1999,10553918
2000,10842095
2001,11804000
2002,11909300
2003,13354800
2004,13976200
2005,14961700
2006,15880700
2007,15823745
2008,17734440
2009,17564936
2010,16993716
2011,18911520
2012,18785030
2013,19216460
2014,19667016
2015,19961580
2016,17319176
2017,19919332
2018,19516140
2019,19858368
2020,19140612
2021,18116354
2022,18453420
2023,18551950
2024,19338266
2025,20283475
